TITLE,TOKENS,TOKENS-VAD,V-MED,A-MED,D-MED
"На Украине сторонники ""новой церкви"" захватили сельский храм УПЦ","украин,сторонник,нов,церков,захват,сельск,храм,упц","нов (0.917;0.490;0.582) ,захват (0.357;0.650;0.537) ",0.637,0.57,0.559
В Тернопольской области Украины захватили еще один храм УПЦ МП,"тернопольск,област,украин,захват,храм,упц,мп",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
В Тернопольской области захватили храм общины УПЦ,"тернопольск,област,захват,храм,общин,упц",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
Под Тернополем раскольники захватили храм канонической церкви,"тернопол,раскольник,захват,храм,каноническ,церков",захват (0.357;0.650;0.537) ,0.357,0.65,0.537
"Храм УПЦ в Тернопольской области захватили сторонники ""новой украинской церкви""","храм,упц,тернопольск,област,захват,сторонник,нов,украинск,церков","захват (0.357;0.650;0.537) ,нов (0.917;0.490;0.582) ",0.637,0.57,0.559
"В Житомирской области три общины перешли в ""новую церковь""","житомирск,област,общин,переход,нов,церков","переход (0.605;0.561;0.558) ,нов (0.917;0.490;0.582) ",0.761,0.526,0.57
"Скажите Порошенко, что сейчас есть интернет - Портнов о ""томос-туре""","сказа,порошенк,интернет,портн,томос,тур",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
Раскольнику Филарету предложили назваться патриархом всея Галактики,"раскольник,филарет,предлага,назва,патриарх,ве,галактик",предлага (0.750;0.745;0.596) ,0.75,0.745,0.596
"В РПЦ Филарету предложили именоваться ""патриархом всея Африки и Галактики""","рпц,филарет,предлага,именова,патриарх,ве,африк,галактик",предлага (0.750;0.745;0.596) ,0.75,0.745,0.596
"РПЦ предложила Филарету именоваться ""патриархом всея Африки и Галактики""","рпц,предлага,филарет,именова,патриарх,ве,африк,галактик",предлага (0.750;0.745;0.596) ,0.75,0.745,0.596
"Ищенко назвал единственное достижение Порошенко от ""томос-тура""","ищенк,называ,единствен,достижен,порошенк,томос,тур",тур (0.663;0.545;0.543) ,0.663,0.545,0.543
На Украине задержали хулиганов,"украин,задержива,хулига","задержива (0.188;0.490;0.216) ,хулига (0.354;0.720;0.432) ",0.271,0.605,0.324
В Сумах задержали подозреваемых во взрыве у Спасо-Преображенского собора,"сум,задержива,подозрева,взрыв,спас,преображенск,собор","сум (0.430;0.462;0.455) ,задержива (0.188;0.490;0.216) ,подозрева (0.133;0.750;0.509) ,спас (0.365;0.755;0.518) ",0.279,0.614,0.425
Новые провокации. В сумском соборе прогремел взрыв,"нов,провокац,сумск,собор,прогремет,взрыв",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
Эксперт рассказал о нервном и агрессивном Порошенко,"эксперт,рассказыва,нервн,агрессивн,порошенк",нервн (0.235;0.820;0.213) ,0.235,0.82,0.213
На Украине неизвестные взорвали пиротехнику на входе в собор,"украин,неизвестн,взрыва,пиротехник,вход,собор","неизвестн (0.286;0.775;0.402) ,пиротехник (0.561;0.821;0.532) ",0.423,0.798,0.467
"Порошенко отправил украинца ""помолиться"" после вопроса о коррупции","порошенк,отправля,украинец,помол,вопрос,коррупц","вопрос (0.316;0.819;0.351) ,коррупц (0.052;0.830;0.549) ",0.184,0.825,0.45
Православная епархия в Западной Европе отказалась подчиняться Константинополю,"православн,епарх,западн,европ,отказыва,подчиня,константинопол","западн (0.177;0.775;0.508) ,отказыва (0.235;0.509;0.321) ",0.206,0.642,0.414
У входа в собор в украинских Сумах во время службы произошел взрыв,"вход,собор,украинск,сум,врем,служб,происход,взрыв","сум (0.430;0.462;0.455) ,происход (0.646;0.529;0.555) ",0.538,0.496,0.505
Вся Украина для Варфоломея. Как фанариотов испортил украинский вопрос,"ве,украин,варфолом,фанариот,испорт,украинск,вопрос",вопрос (0.316;0.819;0.351) ,0.316,0.819,0.351
Правозащитники сообщили,"правозащитник,сообща",сообща (0.418;0.442;0.567) ,0.418,0.442,0.567
Выборы на Украине. Волынский бунт и разоблачение Зеленского,"выбор,украин,волынск,бунт,разоблачен,зеленск",бунт (0.323;0.890;0.549) ,0.323,0.89,0.549
Неадекватному Порошенко врезали в церкви за коррупцию,"неадекватн,порошенк,вреза,церков,коррупц","неадекватн (0.286;0.500;0.297) ,коррупц (0.052;0.830;0.549) ",0.169,0.665,0.423
Новая украинская церковь провозгласила независимость от Константинополя,"нов,украинск,церков,провозглаша,независим,константинопол","нов (0.917;0.490;0.582) ,независим (0.549;0.595;0.447) ",0.733,0.542,0.514
Медведчук опасается раскола украинского общества из-за религии,"медведчук,опаса,раскол,украинск,обществ,религ",опаса (0.406;0.592;0.431) ,0.406,0.592,0.431
Порошенко ответил бандеровским привествием на вопрос о коррупции,"порошенк,отвеча,бандеровск,привеств,вопрос,коррупц","отвеча (0.573;0.435;0.594) ,вопрос (0.316;0.819;0.351) ,коррупц (0.052;0.830;0.549) ",0.314,0.695,0.498
Предстоятель новой церкви Украины заявил,"предстоятел,нов,церков,украин,заявля",нов (0.917;0.490;0.582) ,0.917,0.49,0.582
